1;0.00126;0.41504
0.99376;0.00234;0.24841
0.98289;0.0042;0.18402
0.97022;0.00633;0.13543
0.95604;0.00868;0.09806
0.9408;0.01115;0.06608
0.92493;0.01367;0.03889
0.90872;0.0162;0.01485
0.89233;0.01869;-0.00627
0.87586;0.02115;-0.02539
0.85933;0.02356;-0.04317
0.84278;0.02592;-0.05965
0.8262;0.02824;-0.07488
0.80962;0.0305;-0.08917
0.79302;0.03271;-0.10351
0.77642;0.03487;-0.11649
0.75981;0.03698;-0.12932
0.7432;0.03904;-0.14174
0.72658;0.04104;-0.15366
0.70996;0.04299;-0.16556
0.69334;0.04489;-0.17716
0.67672;0.04674;-0.18835
0.6601;0.04853;-0.19966
0.64349;0.05026;-0.21073
0.62688;0.05194;-0.22176
0.61028;0.05355;-0.23272
0.59369;0.05511;-0.24345
0.5771;0.0566;-0.25448
0.56053;0.05803;-0.26534
0.54396;0.05939;-0.27618
0.52742;0.06068;-0.28699
0.51088;0.0619;-0.29812
0.49437;0.06304;-0.30895
0.47788;0.06411;-0.32029
0.46141;0.0651;-0.33119
0.44497;0.06601;-0.34268
0.42856;0.06682;-0.35421
0.4122;0.06755;-0.36617
0.3959;0.06818;-0.37994
0.37968;0.0687;-0.39249
0.36352;0.06909;-0.40347
0.34741;0.06937;-0.41424
0.33135;0.06951;-0.42385
0.31535;0.06952;-0.43333
0.29941;0.06938;-0.44216
0.28353;0.06911;-0.45038
0.26773;0.06868;-0.45801
0.25201;0.06809;-0.46468
0.23638;0.06734;-0.4709
0.22086;0.06642;-0.47609
0.20546;0.06531;-0.48017
0.19021;0.06402;-0.48354
0.17512;0.06254;-0.48536
0.16025;0.06085;-0.48562
0.14563;0.05895;-0.48453
0.13134;0.05685;-0.48126
0.11746;0.05454;-0.47583
0.10412;0.05204;-0.46776
0.09147;0.04937;-0.45681
0.07968;0.04659;-0.44239
0.0689;0.04375;-0.4245
0.05924;0.04092;-0.4029
0.05072;0.03814;-0.37732
0.0433;0.03546;-0.34771
0.03686;0.0329;-0.31365
0.0313;0.03045;-0.27551
0.02647;0.02812;-0.23185
0.02227;0.02588;-0.18258
0.0186;0.02372;-0.12601
0.01538;0.02164;-0.06202
0.01256;0.0196;0.01062
0.01009;0.01761;0.09492
0.00792;0.01564;0.18942
0.00604;0.01368;0.29657
0.00443;0.01173;0.41632
0.00307;0.00979;0.54337
0.00196;0.00785;0.6743
0.00111;0.00591;0.79887
0.0005;0.00398;0.90238
0.00014;0.00209;0.97266
0;0.00024;0.99978
0.00008;-0.00159;0.98129
0.00039;-0.00346;0.91517
0.00095;-0.00536;0.8069
0.00176;-0.00726;0.67049
0.00284;-0.00914;0.52204
0.00419;-0.011;0.37869
0.00579;-0.01282;0.24621
0.00766;-0.01462;0.13053
0.00982;-0.0164;0.03341
0.01227;-0.01817;-0.0501
0.01504;-0.01993;-0.11733
0.01818;-0.02169;-0.17461
0.02175;-0.02347;-0.21957
0.0258;-0.02528;-0.25825
0.03043;-0.02712;-0.28781
0.03575;-0.02901;-0.31255
0.04188;-0.03095;-0.33069
0.04895;-0.03293;-0.34506
0.05711;-0.03495;-0.3544
0.06645;-0.03697;-0.35994
0.07699;-0.03895;-0.36175
0.08868;-0.04086;-0.3609
0.10138;-0.04263;-0.35699
0.1149;-0.04424;-0.35147
0.12907;-0.04566;-0.34429
0.14373;-0.0469;-0.33602
0.15877;-0.04794;-0.32702
0.17409;-0.04881;-0.31738
0.18965;-0.0495;-0.30767
0.2054;-0.05004;-0.29739
0.2213;-0.05044;-0.28721
0.23732;-0.0507;-0.27693
0.25346;-0.05084;-0.26668
0.2697;-0.05086;-0.25659
0.28602;-0.05079;-0.24652
0.30242;-0.05061;-0.23669
0.31888;-0.05035;-0.22715
0.33541;-0.05001;-0.21778
0.35198;-0.04959;-0.20891
0.3686;-0.0491;-0.20028
0.38526;-0.04856;-0.19219
0.40192;-0.04796;-0.18599
0.41858;-0.0473;-0.17913
0.43524;-0.04657;-0.17169
0.45192;-0.04578;-0.16356
0.46863;-0.04494;-0.1557
0.48536;-0.04404;-0.14746
0.50212;-0.0431;-0.13942
0.51889;-0.0421;-0.13116
0.53569;-0.04106;-0.12324
0.5525;-0.03999;-0.1151
0.56933;-0.03887;-0.10716
0.58618;-0.03772;-0.09929
0.60304;-0.03653;-0.0913
0.61991;-0.03531;-0.08341
0.63679;-0.03406;-0.07557
0.65368;-0.03278;-0.0677
0.67058;-0.03147;-0.05976
0.68749;-0.03014;-0.052
0.7044;-0.02878;-0.04382
0.72131;-0.0274;-0.03589
0.73823;-0.026;-0.02774
0.75515;-0.02457;-0.01919
0.77207;-0.02312;-0.01077
0.78899;-0.02165;-0.00177
0.8059;-0.02015;0.00739
0.82281;-0.01864;0.01707
0.83972;-0.0171;0.02745
0.85661;-0.01554;0.03847
0.87347;-0.01396;0.05042
0.89029;-0.01236;0.0637
0.90702;-0.01074;0.07837
0.92358;-0.00912;0.09551
0.93979;-0.0075;0.11498
0.95535;-0.00592;0.13935
0.96981;-0.00444;0.16804
0.98269;-0.00309;0.20741
0.9937;-0.00193;0.26305
1;-0.00126;0.41504